Unnamed: 0,Date,Stock,Open,High,Low,Close,Volume,Daily_Return,Volatility_10,Volatility_20,SMA_10,SMA_20,std_10,std_20,Upper_BB_10,Lower_BB_10,Upper_BB_20,Lower_BB_20,Direction,topic_-1_negative,topic_-1_neutral,topic_-1_positive,topic_0_negative,topic_0_neutral,topic_0_positive,topic_1_negative,topic_1_neutral,topic_1_positive,topic_2_negative,topic_2_neutral,topic_2_positive,topic_3_negative,topic_3_neutral,topic_3_positive,topic_4_negative,topic_4_neutral,topic_4_positive,topic_5_negative,topic_5_neutral,topic_5_positive,topic_6_negative,topic_6_neutral,topic_6_positive,topic_7_negative,topic_7_neutral,topic_7_positive,topic_8_negative,topic_8_neutral,topic_8_positive,topic_-1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
11671,0,TSM,204.7024288,207.3521087,202.102558,202.2718964,8044900,-0.015848473,0.02639852,0.025259627,199.1729813,196.5426422,5.134057723,6.846748819,209.4410967,188.9048658,210.2361398,182.8491446,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11672,0,UBER,61.59999847,61.97000122,61.15999985,61.56000137,12659000,-0.002430687,0.012970197,0.027607085,60.99299965,64.66049976,0.683163309,4.739574354,62.35932627,59.62667303,74.13964847,55.18135106,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11673,0,V,319.2328415,320.9100426,318.9233647,320.3709412,2856000,0.000810913,0.011600596,0.009947698,315.8994476,313.8823395,3.298506544,3.612241564,322.4964607,309.3024345,321.1068226,306.6578564,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11674,0,VZ,39.13650644,39.47058298,39.04807332,39.26424026,12946400,0.004020125,0.01125885,0.010092458,39.87934113,41.08939857,0.901881049,1.524737297,41.68310322,38.07557903,44.13887317,38.03992398,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11675,0,WFC,71.07908246,71.48706428,70.76065484,71.40746307,6964300,0.002374765,0.016449164,0.013978607,70.24022064,71.94430771,1.092958564,2.268632314,72.42613777,68.05430351,76.48157234,67.40704308,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11676,0,XOM,105.5756542,106.0811349,105.0008018,105.5459213,9652400,0.000845872,0.008362469,0.008640131,106.6589668,110.3821636,2.149864517,4.417517663,110.9586959,102.3592378,119.2171989,101.5471283,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11677,0,^DJI,43201.85156,43373.98047,43115.08984,43325.80078,270350000,0.000664469,0.010188919,0.007537501,43194.87109,43914.47676,574.7501183,859.6658958,44344.37133,42045.37086,45633.80855,42195.14497,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11678,0,^IXIC,19979.25,20070.08008,19888.10938,20020.35938,6467910000,-0.000537737,0.014390855,0.011637244,19826.69414,19709.221,290.243728,310.7036644,20407.1816,19246.20668,20330.62832,19087.81367,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11679,0,AAPL,257.5468258,258.415896,252.7820754,255.3092957,42355300,-0.013242127,0.012133425,0.009615364,253.0278,248.2515511,3.925918986,6.098853535,260.879638,245.175962,260.4492581,236.053844,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11680,0,ABBV,176.2578598,177.9816101,175.6337405,176.3470154,2745400,-0.006640602,0.013811646,0.011941935,173.9694397,174.8966949,3.132672273,3.28081335,180.2347842,167.7040952,181.4583216,168.3350682,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11681,0,ADBE,446.8800049,449.9100037,441.1099854,446.480011,2947200,-0.008174855,0.014430498,0.034487255,449.9640045,489.762001,8.66846764,44.50974216,467.3009398,432.6270692,578.7814854,400.7425167,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11682,0,AMD,124.3700027,126.1800003,122.2600021,125.1900024,32924000,0.00103954,0.022147997,0.023548725,123.9260002,130.1889992,2.99444465,7.928103424,129.9148895,117.9371109,146.045206,114.3327923,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11683,0,AMZN,225.6000061,226.0299988,220.8999939,223.75,27367100,-0.014534257,0.01989758,0.017428572,226.5179993,223.6659996,3.784289834,6.73660994,234.0865789,218.9494196,237.1392195,210.1927797,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11684,0,BA,180.0099945,181.4299927,179.3999939,180.7200012,6806900,0.001884889,0.009346646,0.014379326,176.098999,167.5849991,3.754367245,9.727347054,183.6077335,168.5902645,187.0396932,148.130305,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11685,0,BAC,43.96256787,44.49917859,43.78369636,44.06193924,17972500,-0.004713803,0.014014303,0.011455655,44.16131134,45.13573418,0.766467151,1.177122705,45.69424564,42.62837704,47.48997959,42.78148877,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
